name,meta
Ai Weiwei: Never Sorry,81
Selma,81
To Live and Die in L.A.,81
Right Now,81
 Wrong Then,81
Ford v Ferrari,81
Bad Education,81
Bullitt,81
The Chambermaid,81
Silver Linings Playbook,81
A Self-Made Hero,81
Norte,81
 the End of History,81
Buena Vista Social Club,81
Elaine Stritch: Shoot Me,80
Waiting for 'Superman',80
Ray & Liz,80
Prince of the City,80
Encounters at the End of the World,80
The Turin Horse,80
One Night in Miami,80
The Proposal,80
Unrest,80
Western Stars,80
Shake Hands with the Devil: The Journey of Roméo Dallaire,80
North Dallas Forty,80
Waves,80
The Martian,80
The Last Temptation of Christ,80
Neon Bull,80
Melancholia,80
Tom Dowd & the Language of Music,80
Kiss of the Spider Woman (re-release),80
On the Ropes,80
Wendy and Lucy,80
Salesman,80
The Wrestler,80
The Hours,80
Superman,80
Bang the Drum Slowly,80
Knock Down the House,80
I Lost My Body,80
Junebug,80
Footlight Parade,80
Dead Man Walking,80
Fiddler: A Miracle of Miracles,80
Promises,80
Love and Death on Long Island,80
Food,80
 Inc.,80
Three Times,80
Tony Takitani,80
The Secret World of Arrietty,80
Everlasting Moments,80
The Wound,80
We Come as Friends,80
The Gay Divorcee,80
The Untold Story of Emmett Louis Till,80
The Queen of Versailles,80
Theeb,80
Incendies,80
The Wild Parrots of Telegraph Hill,80
Nine Queens,80
The Color of Paradise,80
A Fish Called Wanda,80
Trophy,80
She's Beautiful When She's Angry,80
Incredibles 2,80
Gleason,80
Casino Royale,80
Concerning Violence,80
Cane River,80
Cinema Paradiso,80
She Dies Tomorrow,80
The Strange Little Cat,80
Saraband,80
Brute Force,80
On the Beach at Night Alone,80
Desert One,80
Nossa Chape,80
Pervert Park,80
Arabian Nights: Volume 1,80
 The Restless One,80
Love & Mercy,80
Nine Lives,80
Charlie: The Life and Art of Charles Chaplin,80
Gimme Shelter (re-release),80
Taste of Cherry,80
A Bronx Tale,80
Bugsy,80
Cabaret,80
Peter and the Farm,80
True Grit,80
Mystery Train,80
The Secret in Their Eyes,80
Bigger Stronger Faster*,80
End of the Century,80
Bending the Arc,80
What Richard Did,80
I Wish,80
Iris,80
